,user,komunikacyjne,mieszkanie,rolne,upraw,NNW,firm,OC,zwierzat,inne,na_zycie,grupowe,travel,<5000,<10000,<50000,<100000,+1000000,high,low,+100000
3105,671152019-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
3106,568042014-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3107,516882013-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
3108,620822016-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
3109,654572018-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
3110,551792014-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3111,594962015-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
3112,266232005-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3113,258592004-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3114,674412019-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
3115,353652010-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
3116,646142018-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3117,528932014-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
3118,492142011-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3119,211682001-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
3120,601802015-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
3121,635732017-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
3122,183362001-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3123,144312001-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3124,227172002-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3125,200872001-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
3126,154252001-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3127,88812000-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
3128,100842001-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3129,317722008-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3130,232702002-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3131,486772011-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3132,268082005-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
3133,161432001-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3134,188542001-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3135,324332008-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3136,535232014-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3137,357082010-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
3138,218512001-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
3139,316762007-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
3140,523052014-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0
3141,623722016-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
3142,34621999-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0
3143,543342014-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3144,196552001-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0
3145,28261999-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3146,11101999-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3147,537092014-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
3148,602152015-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
3149,272212005-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
3150,610142016-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3151,142132001-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3152,134762001-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3153,299422007-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0
3154,548762014-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0
3155,306052007-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3156,523902014-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3157,220342001-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3158,546882014-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
3159,200362001-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3160,631062017-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
3161,336002009-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0
3162,640082017-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
3163,194302001-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3164,89472000-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3165,556762014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0
3166,89572000-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0
3167,197932001-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3168,197732001-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3169,150862001-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3170,159182001-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3171,485862011-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
3172,591572015-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0
3173,552712014-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
3174,638992017-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0
3175,485242011-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
3176,329722008-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
